time,datetime,ET
978307200000,2001-01-01,30.5
978998400000,2001-01-09,18.5
979689600000,2001-01-17,17.7
980380800000,2001-01-25,20.400000000000002
981072000000,2001-02-02,19.400000000000002
982454400000,2001-02-18,13.0
983145600000,2001-02-26,16.2
983836800000,2001-03-06,16.5
985219200000,2001-03-22,17.5
987292800000,2001-04-15,19.200000000000003
987984000000,2001-04-23,20.0
988675200000,2001-05-01,20.3
989366400000,2001-05-09,19.5
990057600000,2001-05-17,33.7
990748800000,2001-05-25,37.7
991440000000,2001-06-02,21.6
994204800000,2001-07-04,21.1
995587200000,2001-07-20,30.0
996278400000,2001-07-28,35.800000000000004
996969600000,2001-08-05,25.400000000000002
998352000000,2001-08-21,33.9
999043200000,2001-08-29,26.700000000000003
999734400000,2001-09-06,33.800000000000004
1000425600000,2001-09-14,27.3
1001116800000,2001-09-22,22.200000000000003
1001808000000,2001-09-30,21.0
1002499200000,2001-10-08,19.0
1003881600000,2001-10-24,26.700000000000003
1004572800000,2001-11-01,15.700000000000001
1005955200000,2001-11-17,25.400000000000002
1006646400000,2001-11-25,17.3
1008028800000,2001-12-11,15.0
1008720000000,2001-12-19,24.1
1009411200000,2001-12-27,14.600000000000001
1009843200000,2002-01-01,21.700000000000003
1010534400000,2002-01-09,20.0
1011225600000,2002-01-17,11.4
1012608000000,2002-02-02,23.0
1013299200000,2002-02-10,16.7
1013990400000,2002-02-18,15.100000000000001
1015372800000,2002-03-06,18.1
1016064000000,2002-03-14,17.8
1017446400000,2002-03-30,19.5
1020902400000,2002-05-09,19.5
1021593600000,2002-05-17,25.900000000000002
1022284800000,2002-05-25,33.6
1023667200000,2002-06-10,31.0
1024358400000,2002-06-18,29.0
1026432000000,2002-07-12,27.6
1029196800000,2002-08-13,20.3
1029888000000,2002-08-21,28.200000000000003
1030579200000,2002-08-29,28.8
1031961600000,2002-09-14,28.8
1032652800000,2002-09-22,21.700000000000003
1033344000000,2002-09-30,31.0
1034035200000,2002-10-08,30.0
1034726400000,2002-10-16,25.1
1035417600000,2002-10-24,19.900000000000002
1036108800000,2002-11-01,27.0
1036800000000,2002-11-09,20.5
1037491200000,2002-11-17,19.400000000000002
1038182400000,2002-11-25,22.200000000000003
1038873600000,2002-12-03,18.1
1039564800000,2002-12-11,19.5
1040256000000,2002-12-19,21.1
1040947200000,2002-12-27,13.5
1041379200000,2003-01-01,19.200000000000003
1042070400000,2003-01-09,19.3
1042761600000,2003-01-17,14.5
1043452800000,2003-01-25,22.3
1044144000000,2003-02-02,22.900000000000002
1044835200000,2003-02-10,17.1
1045526400000,2003-02-18,23.200000000000003
1046217600000,2003-02-26,17.2
1046908800000,2003-03-06,26.5
1047600000000,2003-03-14,22.1
1048291200000,2003-03-22,17.3
1049673600000,2003-04-07,18.5
1051747200000,2003-05-01,26.700000000000003
1052438400000,2003-05-09,31.900000000000002
1053129600000,2003-05-17,33.4
1053820800000,2003-05-25,19.900000000000002
1054512000000,2003-06-02,33.5
1055203200000,2003-06-10,30.3
1056585600000,2003-06-26,27.900000000000002
1057276800000,2003-07-04,32.9
1057968000000,2003-07-12,33.300000000000004
1058659200000,2003-07-20,20.6
1060041600000,2003-08-05,38.1
1060732800000,2003-08-13,38.2
1061424000000,2003-08-21,35.1
1062115200000,2003-08-29,26.400000000000002
1062806400000,2003-09-06,32.0
1063497600000,2003-09-14,33.1
1064188800000,2003-09-22,25.900000000000002
1064880000000,2003-09-30,26.6
1065571200000,2003-10-08,24.6
1066262400000,2003-10-16,25.8
1066953600000,2003-10-24,20.200000000000003
1067644800000,2003-11-01,17.6
1068336000000,2003-11-09,12.9
1069027200000,2003-11-17,21.3
1069718400000,2003-11-25,18.3
1070409600000,2003-12-03,19.5
1071100800000,2003-12-11,15.700000000000001
1071792000000,2003-12-19,18.900000000000002
1072915200000,2004-01-01,22.6
1073606400000,2004-01-09,20.8
1074297600000,2004-01-17,16.8
1074988800000,2004-01-25,20.900000000000002
1075680000000,2004-02-02,23.400000000000002
1076371200000,2004-02-10,25.6
1077062400000,2004-02-18,26.0
1077753600000,2004-02-26,26.200000000000003
1078444800000,2004-03-05,26.200000000000003
1079827200000,2004-03-21,14.700000000000001
1080518400000,2004-03-29,30.3
1081209600000,2004-04-06,31.900000000000002
1081900800000,2004-04-14,22.1
1082592000000,2004-04-22,21.400000000000002
1083283200000,2004-04-30,23.900000000000002
1083974400000,2004-05-08,20.3
1084665600000,2004-05-16,18.900000000000002
1085356800000,2004-05-24,32.4
1086048000000,2004-06-01,34.4
1087430400000,2004-06-17,38.400000000000006
1088121600000,2004-06-25,26.200000000000003
1088812800000,2004-07-03,37.7
1090195200000,2004-07-19,31.8
1091577600000,2004-08-04,35.0
1092268800000,2004-08-12,32.5
1092960000000,2004-08-20,32.2
1093651200000,2004-08-28,30.5
1094342400000,2004-09-05,35.0
1095033600000,2004-09-13,23.5
1095724800000,2004-09-21,28.8
1096416000000,2004-09-29,28.8
1097107200000,2004-10-07,27.1
1097798400000,2004-10-15,16.0
1098489600000,2004-10-23,15.9
1099180800000,2004-10-31,19.3
1099872000000,2004-11-08,24.3
1100563200000,2004-11-16,24.8
1101254400000,2004-11-24,20.1
1101945600000,2004-12-02,15.3
1102636800000,2004-12-10,18.8
1103328000000,2004-12-18,20.400000000000002
1104019200000,2004-12-26,16.8
1104537600000,2005-01-01,17.7
1105228800000,2005-01-09,20.5
1105920000000,2005-01-17,26.900000000000002
1106611200000,2005-01-25,14.700000000000001
1107302400000,2005-02-02,16.0
1107993600000,2005-02-10,23.1
1108684800000,2005-02-18,22.8
1110067200000,2005-03-06,19.6
1110758400000,2005-03-14,16.6
1112140800000,2005-03-30,28.0
1112832000000,2005-04-07,33.7
1113523200000,2005-04-15,16.6
1114214400000,2005-04-23,19.8
1114905600000,2005-05-01,22.6
1115596800000,2005-05-09,34.0
1116288000000,2005-05-17,27.0
1116979200000,2005-05-25,31.900000000000002
1118361600000,2005-06-10,25.0
1119744000000,2005-06-26,31.0
1120435200000,2005-07-04,36.1
1121126400000,2005-07-12,30.0
1122508800000,2005-07-28,21.5
1123200000000,2005-08-05,31.700000000000003
1123891200000,2005-08-13,28.400000000000002
1124582400000,2005-08-21,30.6
1125273600000,2005-08-29,39.6
1126656000000,2005-09-14,21.0
1128038400000,2005-09-30,27.5
1128729600000,2005-10-08,27.0
1129420800000,2005-10-16,24.0
1130112000000,2005-10-24,20.6
1131494400000,2005-11-09,25.3
1132185600000,2005-11-17,23.900000000000002
1132876800000,2005-11-25,22.0
1133568000000,2005-12-03,22.700000000000003
1134259200000,2005-12-11,18.8
1134950400000,2005-12-19,21.700000000000003
1135641600000,2005-12-27,11.9
1136073600000,2006-01-01,14.100000000000001
1136764800000,2006-01-09,18.0
1137456000000,2006-01-17,17.0
1138147200000,2006-01-25,16.400000000000002
1138838400000,2006-02-02,19.3
1139529600000,2006-02-10,22.200000000000003
1140912000000,2006-02-26,15.0
1145059200000,2006-04-15,19.700000000000003
1146441600000,2006-05-01,23.0
1147824000000,2006-05-17,19.3
1148515200000,2006-05-25,32.4
1149206400000,2006-06-02,37.1
1150588800000,2006-06-18,21.700000000000003
1151971200000,2006-07-04,26.6
1152662400000,2006-07-12,42.7
1153353600000,2006-07-20,32.4
1154044800000,2006-07-28,26.200000000000003
1154736000000,2006-08-05,21.900000000000002
1155427200000,2006-08-13,23.6
1156118400000,2006-08-21,27.5
1156809600000,2006-08-29,27.8
1158883200000,2006-09-22,16.6
1160265600000,2006-10-08,24.5
1160956800000,2006-10-16,26.8
1162339200000,2006-11-01,21.6
1163030400000,2006-11-09,26.8
1163721600000,2006-11-17,22.1
1164412800000,2006-11-25,20.1
1165104000000,2006-12-03,20.900000000000002
1165795200000,2006-12-11,20.900000000000002
1166486400000,2006-12-19,21.6
1167177600000,2006-12-27,13.4
1168300800000,2007-01-09,15.9
1168992000000,2007-01-17,17.1
1169683200000,2007-01-25,22.400000000000002
1170374400000,2007-02-02,15.5
1171065600000,2007-02-10,13.100000000000001
1172448000000,2007-02-26,25.5
1173139200000,2007-03-06,26.6
1173830400000,2007-03-14,26.400000000000002
1174521600000,2007-03-22,21.3
1175212800000,2007-03-30,16.7
1177286400000,2007-04-23,25.1
1177977600000,2007-05-01,19.700000000000003
1178668800000,2007-05-09,17.400000000000002
1179360000000,2007-05-17,29.3
1180051200000,2007-05-25,33.300000000000004
1180742400000,2007-06-02,34.800000000000004
1182816000000,2007-06-26,23.700000000000003
1183507200000,2007-07-04,28.8
1184198400000,2007-07-12,36.2
1184889600000,2007-07-20,35.7
1185580800000,2007-07-28,30.900000000000002
1186272000000,2007-08-05,20.900000000000002
1186963200000,2007-08-13,23.1
1187654400000,2007-08-21,29.5
1188345600000,2007-08-29,29.700000000000003
1189036800000,2007-09-06,21.5
1191801600000,2007-10-08,27.0
1192492800000,2007-10-16,22.900000000000002
1193184000000,2007-10-24,21.400000000000002
1193875200000,2007-11-01,19.1
1194566400000,2007-11-09,21.8
1195257600000,2007-11-17,20.3
1195948800000,2007-11-25,23.400000000000002
1196640000000,2007-12-03,21.5
1198022400000,2007-12-19,12.8
1199145600000,2008-01-01,23.5
1199836800000,2008-01-09,15.100000000000001
1200528000000,2008-01-17,19.6
1201910400000,2008-02-02,13.0
1202601600000,2008-02-10,21.5
1203292800000,2008-02-18,22.900000000000002
1203984000000,2008-02-26,19.3
1204675200000,2008-03-05,24.700000000000003
1205366400000,2008-03-13,25.400000000000002
1207440000000,2008-04-06,34.300000000000004
1208131200000,2008-04-14,29.900000000000002
1209513600000,2008-04-30,19.1
1210204800000,2008-05-08,20.6
1210896000000,2008-05-16,33.4
1211587200000,2008-05-24,29.8
1212278400000,2008-06-01,32.4
1213660800000,2008-06-17,32.1
1214352000000,2008-06-25,30.200000000000003
1215043200000,2008-07-03,31.3
1215734400000,2008-07-11,31.6
1217116800000,2008-07-27,27.8
1217808000000,2008-08-04,32.0
1218499200000,2008-08-12,33.4
1219190400000,2008-08-20,33.6
1219881600000,2008-08-28,37.9
1220572800000,2008-09-05,29.0
1221264000000,2008-09-13,30.1
1221955200000,2008-09-21,26.5
1223337600000,2008-10-07,23.900000000000002
1224720000000,2008-10-23,17.1
1225411200000,2008-10-31,14.8
1226793600000,2008-11-16,15.0
1227484800000,2008-11-24,14.5
1228176000000,2008-12-02,17.1
1228867200000,2008-12-10,14.9
1229558400000,2008-12-18,19.3
1231459200000,2009-01-09,23.5
1232150400000,2009-01-17,15.8
1234224000000,2009-02-10,13.0
1236297600000,2009-03-06,13.200000000000001
1239753600000,2009-04-15,19.1
1240444800000,2009-04-23,18.400000000000002
1241136000000,2009-05-01,21.0
1241827200000,2009-05-09,19.900000000000002
1242518400000,2009-05-17,19.400000000000002
1243209600000,2009-05-25,24.400000000000002
1243900800000,2009-06-02,31.5
1244592000000,2009-06-10,22.400000000000002
1245974400000,2009-06-26,23.1
1248048000000,2009-07-20,20.400000000000002
1248739200000,2009-07-28,23.700000000000003
1250121600000,2009-08-13,32.2
1250812800000,2009-08-21,21.900000000000002
1251504000000,2009-08-29,23.3
1252195200000,2009-09-06,33.9
1252886400000,2009-09-14,33.1
1254268800000,2009-09-30,24.400000000000002
1254960000000,2009-10-08,31.900000000000002
1255651200000,2009-10-16,29.6
1256342400000,2009-10-24,27.3
1257033600000,2009-11-01,24.400000000000002
1257724800000,2009-11-09,15.0
1258416000000,2009-11-17,13.9
1259107200000,2009-11-25,14.5
1259798400000,2009-12-03,22.200000000000003
1260489600000,2009-12-11,15.600000000000001
1261180800000,2009-12-19,20.6
1261872000000,2009-12-27,13.4
1262304000000,2010-01-01,21.8
1262995200000,2010-01-09,17.400000000000002
1263686400000,2010-01-17,16.0
1264377600000,2010-01-25,18.400000000000002
1265068800000,2010-02-02,21.700000000000003
1265760000000,2010-02-10,19.400000000000002
1266451200000,2010-02-18,17.1
1267142400000,2010-02-26,20.3
1267833600000,2010-03-06,18.2
1270598400000,2010-04-07,26.6
1271289600000,2010-04-15,25.700000000000003
1271980800000,2010-04-23,32.9
1273363200000,2010-05-09,29.0
1274054400000,2010-05-17,36.7
1275436800000,2010-06-02,25.6
1276128000000,2010-06-10,34.300000000000004
1276819200000,2010-06-18,22.200000000000003
1278201600000,2010-07-04,32.0
1278892800000,2010-07-12,32.5
1279584000000,2010-07-20,29.5
1280275200000,2010-07-28,30.700000000000003
1281657600000,2010-08-13,26.8
1282348800000,2010-08-21,32.1
1283040000000,2010-08-29,36.4
1283731200000,2010-09-06,35.6
1284422400000,2010-09-14,31.200000000000003
1285113600000,2010-09-22,29.6
1285804800000,2010-09-30,25.1
1286496000000,2010-10-08,16.6
1287187200000,2010-10-16,19.900000000000002
1287878400000,2010-10-24,22.3
1288569600000,2010-11-01,24.0
1289260800000,2010-11-09,20.400000000000002
1289952000000,2010-11-17,25.5
1290643200000,2010-11-25,23.1
1291334400000,2010-12-03,12.4
1292025600000,2010-12-11,15.4
1292716800000,2010-12-19,16.2
1293408000000,2010-12-27,11.600000000000001
1293840000000,2011-01-01,15.9
1294531200000,2011-01-09,21.8
1295222400000,2011-01-17,20.5
1295913600000,2011-01-25,21.700000000000003
1296604800000,2011-02-02,24.8
1297296000000,2011-02-10,24.200000000000003
1299369600000,2011-03-06,17.3
1300060800000,2011-03-14,15.600000000000001
1302825600000,2011-04-15,19.5
1304208000000,2011-05-01,16.5
1305590400000,2011-05-17,23.1
1308355200000,2011-06-18,27.5
1310428800000,2011-07-12,23.3
1311120000000,2011-07-20,28.3
1311811200000,2011-07-28,20.6
1312502400000,2011-08-05,23.0
1313193600000,2011-08-13,24.5
1313884800000,2011-08-21,33.0
1314576000000,2011-08-29,35.1
1315267200000,2011-09-06,30.200000000000003
1315958400000,2011-09-14,30.400000000000002
1316649600000,2011-09-22,22.6
1317340800000,2011-09-30,23.900000000000002
1318032000000,2011-10-08,25.3
1319414400000,2011-10-24,15.100000000000001
1320796800000,2011-11-09,15.0
1322179200000,2011-11-25,20.0
1322870400000,2011-12-03,18.400000000000002
1323561600000,2011-12-11,12.4
1324252800000,2011-12-19,15.0
1324944000000,2011-12-27,10.3
1325376000000,2012-01-01,22.3
1326067200000,2012-01-09,20.900000000000002
1326758400000,2012-01-17,20.8
1327449600000,2012-01-25,25.200000000000003
1328140800000,2012-02-02,24.3
1328832000000,2012-02-10,19.1
1332979200000,2012-03-29,29.6
1333670400000,2012-04-06,19.5
1335052800000,2012-04-22,23.0
1335744000000,2012-04-30,33.5
1336435200000,2012-05-08,28.200000000000003
1337126400000,2012-05-16,35.6
1337817600000,2012-05-24,25.8
1339200000000,2012-06-09,27.8
1339891200000,2012-06-17,23.8
1340582400000,2012-06-25,25.8
1341273600000,2012-07-03,33.4
1341964800000,2012-07-11,35.5
1342656000000,2012-07-19,30.3
1344038400000,2012-08-04,22.5
1344729600000,2012-08-12,35.800000000000004
1345420800000,2012-08-20,34.1
1346112000000,2012-08-28,19.8
1346803200000,2012-09-05,19.700000000000003
1347494400000,2012-09-13,17.5
1348185600000,2012-09-21,23.3
1348876800000,2012-09-29,21.0
1349568000000,2012-10-07,27.6
1350950400000,2012-10-23,27.0
1351641600000,2012-10-31,22.0
1352332800000,2012-11-08,25.900000000000002
1353715200000,2012-11-24,16.3
1354406400000,2012-12-02,14.8
1355097600000,2012-12-10,15.100000000000001
1356998400000,2013-01-01,21.200000000000003
1357689600000,2013-01-09,23.0
1358380800000,2013-01-17,20.6
1359763200000,2013-02-02,22.6
1360454400000,2013-02-10,23.700000000000003
1361836800000,2013-02-26,14.100000000000001
1362528000000,2013-03-06,16.1
1363219200000,2013-03-14,15.4
1365292800000,2013-04-07,19.6
1365984000000,2013-04-15,23.1
1366675200000,2013-04-23,19.700000000000003
1367366400000,2013-05-01,20.5
1368057600000,2013-05-09,22.1
1368748800000,2013-05-17,19.1
1370131200000,2013-06-02,24.1
1370822400000,2013-06-10,33.800000000000004
1371513600000,2013-06-18,30.700000000000003
1372204800000,2013-06-26,36.9
1373587200000,2013-07-12,31.3
1374969600000,2013-07-28,35.2
1376352000000,2013-08-13,35.0
1377043200000,2013-08-21,32.0
1377734400000,2013-08-29,38.6
1378425600000,2013-09-06,33.9
1379116800000,2013-09-14,31.400000000000002
1381190400000,2013-10-08,18.400000000000002
1381881600000,2013-10-16,20.700000000000003
1382572800000,2013-10-24,15.9
1383955200000,2013-11-09,15.3
1384646400000,2013-11-17,21.8
1385337600000,2013-11-25,19.8
1386028800000,2013-12-03,14.3
1386720000000,2013-12-11,16.2
1387411200000,2013-12-19,17.1
1388102400000,2013-12-27,10.3
1388534400000,2014-01-01,17.7
1389225600000,2014-01-09,21.6
1389916800000,2014-01-17,20.200000000000003
1390608000000,2014-01-25,18.1
1391299200000,2014-02-02,19.200000000000003
1392681600000,2014-02-18,29.1
1393372800000,2014-02-26,21.1
1394064000000,2014-03-06,29.0
1394755200000,2014-03-14,29.8
1396137600000,2014-03-30,19.6
1396828800000,2014-04-07,18.1
1397520000000,2014-04-15,21.700000000000003
1398902400000,2014-05-01,22.900000000000002
1399593600000,2014-05-09,20.8
1401667200000,2014-06-02,23.3
1402358400000,2014-06-10,32.6
1403049600000,2014-06-18,29.700000000000003
1403740800000,2014-06-26,28.700000000000003
1404432000000,2014-07-04,22.0
1406505600000,2014-07-28,24.400000000000002
1407196800000,2014-08-05,35.2
1408579200000,2014-08-21,33.0
1409270400000,2014-08-29,38.5
1409961600000,2014-09-06,29.200000000000003
1410652800000,2014-09-14,28.400000000000002
1411344000000,2014-09-22,27.3
1412035200000,2014-09-30,27.1
1412726400000,2014-10-08,28.400000000000002
1413417600000,2014-10-16,25.8
1414108800000,2014-10-24,28.0
1414800000000,2014-11-01,20.8
1415491200000,2014-11-09,14.0
1416182400000,2014-11-17,19.1
1416873600000,2014-11-25,18.3
1417564800000,2014-12-03,18.2
1418947200000,2014-12-19,17.7
1419638400000,2014-12-27,14.4
1420070400000,2015-01-01,16.5
1420761600000,2015-01-09,19.6
1421452800000,2015-01-17,18.3
1422144000000,2015-01-25,20.5
1422835200000,2015-02-02,18.8
1423526400000,2015-02-10,20.5
1424217600000,2015-02-18,22.900000000000002
1424908800000,2015-02-26,20.6
1426291200000,2015-03-14,16.8
1426982400000,2015-03-22,19.6
1427673600000,2015-03-30,19.900000000000002
1430438400000,2015-05-01,19.8
1431129600000,2015-05-09,21.5
1432512000000,2015-05-25,21.400000000000002
1433203200000,2015-06-02,24.8
1433894400000,2015-06-10,20.6
1434585600000,2015-06-18,38.800000000000004
1435276800000,2015-06-26,36.9
1435968000000,2015-07-04,32.9
1436659200000,2015-07-12,37.5
1438041600000,2015-07-28,34.7
1438732800000,2015-08-05,23.8
1439424000000,2015-08-13,20.8
1440115200000,2015-08-21,29.0
1440806400000,2015-08-29,31.0
1442188800000,2015-09-14,22.900000000000002
1442880000000,2015-09-22,20.400000000000002
1443571200000,2015-09-30,19.6
1444262400000,2015-10-08,20.400000000000002
1444953600000,2015-10-16,30.400000000000002
1445644800000,2015-10-24,21.400000000000002
1446336000000,2015-11-01,16.2
1447027200000,2015-11-09,15.5
1447718400000,2015-11-17,15.200000000000001
1448409600000,2015-11-25,14.8
1449100800000,2015-12-03,22.1
1449792000000,2015-12-11,23.6
1450483200000,2015-12-19,17.2
1451174400000,2015-12-27,13.700000000000001
1451606400000,2016-01-01,17.8
1452297600000,2016-01-09,19.400000000000002
1452988800000,2016-01-17,21.900000000000002
1453680000000,2016-01-25,24.400000000000002
1454371200000,2016-02-02,22.0
1455062400000,2016-02-10,20.200000000000003
1455753600000,2016-02-18,18.400000000000002
1456444800000,2016-02-26,22.1
1457136000000,2016-03-05,19.900000000000002
1458518400000,2016-03-21,18.8
1459209600000,2016-03-29,18.7
1459900800000,2016-04-06,19.900000000000002
1460592000000,2016-04-14,28.700000000000003
1461283200000,2016-04-22,24.1
1461974400000,2016-04-30,34.4
1462665600000,2016-05-08,27.6
1463356800000,2016-05-16,22.1
1464048000000,2016-05-24,23.200000000000003
1464739200000,2016-06-01,20.400000000000002
1465430400000,2016-06-09,30.3
1466121600000,2016-06-17,37.9
1466812800000,2016-06-25,27.900000000000002
1467504000000,2016-07-03,29.200000000000003
1468195200000,2016-07-11,35.9
1468886400000,2016-07-19,33.6
1470960000000,2016-08-12,23.900000000000002
1471651200000,2016-08-20,22.400000000000002
1473033600000,2016-09-05,22.1
1473724800000,2016-09-13,22.8
1474416000000,2016-09-21,35.800000000000004
1475798400000,2016-10-07,32.7
1476489600000,2016-10-15,26.400000000000002
1477180800000,2016-10-23,30.700000000000003
1477872000000,2016-10-31,17.8
1478563200000,2016-11-08,23.0
1479254400000,2016-11-16,13.100000000000001
1483228800000,2017-01-01,18.6
1483920000000,2017-01-09,25.1
1484611200000,2017-01-17,21.900000000000002
1485302400000,2017-01-25,20.1
1485993600000,2017-02-02,19.3
1486684800000,2017-02-10,27.900000000000002
1487376000000,2017-02-18,17.2
1488067200000,2017-02-26,15.700000000000001
1488758400000,2017-03-06,22.1
1489449600000,2017-03-14,31.900000000000002
1490140800000,2017-03-22,27.0
1490832000000,2017-03-30,26.0
1492214400000,2017-04-15,27.200000000000003
1492905600000,2017-04-23,31.5
1493596800000,2017-05-01,29.3
1494288000000,2017-05-09,34.1
1494979200000,2017-05-17,23.0
1495670400000,2017-05-25,21.8
1496361600000,2017-06-02,21.700000000000003
1497052800000,2017-06-10,21.6
1497744000000,2017-06-18,22.3
1498435200000,2017-06-26,23.900000000000002
1499126400000,2017-07-04,40.400000000000006
1501891200000,2017-08-05,35.2
1502582400000,2017-08-13,34.2
1503273600000,2017-08-21,33.4
1503964800000,2017-08-29,24.400000000000002
1505347200000,2017-09-14,30.900000000000002
1506038400000,2017-09-22,33.0
1506729600000,2017-09-30,34.2
1507420800000,2017-10-08,25.400000000000002
1508112000000,2017-10-16,21.0
1508803200000,2017-10-24,20.900000000000002
1509494400000,2017-11-01,23.1
1510185600000,2017-11-09,17.7
1510876800000,2017-11-17,14.4
1511568000000,2017-11-25,18.400000000000002
1512259200000,2017-12-03,17.3
1512950400000,2017-12-11,14.100000000000001
1513641600000,2017-12-19,16.7
1514332800000,2017-12-27,12.100000000000001
1514764800000,2018-01-01,19.5
1515456000000,2018-01-09,21.200000000000003
1516147200000,2018-01-17,22.700000000000003
1516838400000,2018-01-25,19.8
1517529600000,2018-02-02,22.6
1518220800000,2018-02-10,24.900000000000002
1518912000000,2018-02-18,12.5
1520985600000,2018-03-14,18.3
1521676800000,2018-03-22,18.5
1522368000000,2018-03-30,21.5
1525824000000,2018-05-09,23.700000000000003
1526515200000,2018-05-17,22.8
1527897600000,2018-06-02,26.200000000000003
1529280000000,2018-06-18,30.5
1529971200000,2018-06-26,39.0
1530662400000,2018-07-04,31.6
1532736000000,2018-07-28,28.5
1533427200000,2018-08-05,35.2
1534118400000,2018-08-13,35.4
1535500800000,2018-08-29,31.0
1536192000000,2018-09-06,34.7
1536883200000,2018-09-14,24.700000000000003
1537574400000,2018-09-22,27.200000000000003
1538265600000,2018-09-30,23.5
1538956800000,2018-10-08,19.200000000000003
1540339200000,2018-10-24,26.900000000000002
1541030400000,2018-11-01,24.900000000000002
1541721600000,2018-11-09,21.1
1542412800000,2018-11-17,19.6
1543104000000,2018-11-25,21.5
1543795200000,2018-12-03,18.6
1544486400000,2018-12-11,19.0
1545177600000,2018-12-19,22.5
1545868800000,2018-12-27,12.8
1546300800000,2019-01-01,20.6
1546992000000,2019-01-09,16.6
1547683200000,2019-01-17,21.8
1548374400000,2019-01-25,20.3
1549065600000,2019-02-02,21.700000000000003
1549756800000,2019-02-10,16.2
1550448000000,2019-02-18,19.200000000000003
1551139200000,2019-02-26,13.4
1552521600000,2019-03-14,23.3
1553212800000,2019-03-22,30.8
1553904000000,2019-03-30,25.1
1554595200000,2019-04-07,24.1
1555286400000,2019-04-15,24.1
1555977600000,2019-04-23,34.0
1556668800000,2019-05-01,30.6
1557360000000,2019-05-09,35.4
1558051200000,2019-05-17,32.800000000000004
1558742400000,2019-05-25,0.0
1560124800000,2019-06-10,29.400000000000002
1560816000000,2019-06-18,32.1
1562889600000,2019-07-12,35.800000000000004
1564963200000,2019-08-05,26.700000000000003
1565654400000,2019-08-13,35.1
1566345600000,2019-08-21,38.1
1567036800000,2019-08-29,26.200000000000003
1567728000000,2019-09-06,25.900000000000002
1569110400000,2019-09-22,31.0
1569801600000,2019-09-30,38.1
1570492800000,2019-10-08,26.5
1571875200000,2019-10-24,23.200000000000003
1572566400000,2019-11-01,26.0
1573257600000,2019-11-09,26.8
1573948800000,2019-11-17,17.6
1575331200000,2019-12-03,12.100000000000001
1576022400000,2019-12-11,19.200000000000003
1576713600000,2019-12-19,15.100000000000001
1577404800000,2019-12-27,14.5
1577836800000,2020-01-01,19.900000000000002
1579219200000,2020-01-17,13.100000000000001
1579910400000,2020-01-25,14.100000000000001
1580601600000,2020-02-02,20.1
1581292800000,2020-02-10,25.8
1581984000000,2020-02-18,23.0
1582675200000,2020-02-26,23.200000000000003
1583366400000,2020-03-05,16.2
1586131200000,2020-04-06,18.6
1586822400000,2020-04-14,15.700000000000001
1587513600000,2020-04-22,20.700000000000003
1588204800000,2020-04-30,22.0
1588896000000,2020-05-08,21.5
1589587200000,2020-05-16,22.8
1590278400000,2020-05-24,23.3
1590969600000,2020-06-01,27.1
1591660800000,2020-06-09,22.5
1592352000000,2020-06-17,23.200000000000003
1593043200000,2020-06-25,38.6
1594425600000,2020-07-11,22.200000000000003
1595116800000,2020-07-19,33.0
1595808000000,2020-07-27,32.300000000000004
1596499200000,2020-08-04,38.0
1597190400000,2020-08-12,28.700000000000003
1597881600000,2020-08-20,62.0
1598572800000,2020-08-28,37.800000000000004
1599955200000,2020-09-13,18.6
1600646400000,2020-09-21,31.3
1601337600000,2020-09-29,30.8
1602028800000,2020-10-07,26.900000000000002
1603411200000,2020-10-23,16.2
1604102400000,2020-10-31,17.400000000000002
1604793600000,2020-11-08,17.0
1605484800000,2020-11-16,14.4
1606176000000,2020-11-24,18.1
1606867200000,2020-12-02,22.1
1607558400000,2020-12-10,14.3
1608249600000,2020-12-18,23.1
1608940800000,2020-12-26,16.1
1609459200000,2021-01-01,21.6
1610150400000,2021-01-09,20.6
1610841600000,2021-01-17,17.7
1611532800000,2021-01-25,16.7
1612224000000,2021-02-02,19.700000000000003
1612915200000,2021-02-10,27.5
1614297600000,2021-02-26,15.8
1616371200000,2021-03-22,18.2
1617062400000,2021-03-30,20.3
1617753600000,2021-04-07,13.200000000000001
1618444800000,2021-04-15,22.700000000000003
1619136000000,2021-04-23,20.200000000000003
1619827200000,2021-05-01,22.6
1620518400000,2021-05-09,22.1
